Seed,Low error rate,Magnitude of change,Noise level,Stable concept duration,Duration of change,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
2,0.01,0.3,0.0,500,1000,4,0,4,0.0,0.0,0.0,0.0,,0.36360330879011,0.36360330879011,4,4
2,0.01,0.3,0.0,100000,0,11,0,11,0.0,0.0,0.0,0.0,,0.00499999772727376,0.00499999772727376,11,11
2,0.01,0.3,0.0,100000,1000,11,0,10,0.0,0.0,0.0,0.0,,0.00499999772727376,0.00499999772727376,10,11
2,0.01,0.3,0.1,500,0,0,13,1,1.0,0.9285714285714286,0.9090909090909091,0.962962962962963,136.2,0.0,1.1814959556484594,11,13
2,0.01,0.3,0.1,500,1000,4,0,4,0.0,0.0,0.0,0.0,,0.3635372171226029,0.3635372171226029,4,4
2,0.01,0.3,0.1,100000,0,10,0,11,0.0,0.0,0.0,0.0,,0.00454544834711589,0.00454544834711589,11,10
2,0.01,0.3,0.1,100000,1000,9,0,10,0.0,0.0,0.0,0.0,,0.004090903512404302,0.004090903512404302,10,9
2,0.2,0.05,0.0,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
2,0.2,0.05,0.0,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
2,0.2,0.05,0.0,100000,0,3,0,11,0.0,0.0,0.0,0.0,,0.0013636357438019347,0.0013636357438019347,11,3
2,0.2,0.05,0.0,100000,1000,3,0,10,0.0,0.0,0.0,0.0,,0.0013636357438019347,0.0013636357438019347,10,3
2,0.2,0.05,0.1,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
2,0.2,0.05,0.1,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
2,0.2,0.05,0.1,100000,0,5,0,11,0.0,0.0,0.0,0.0,,0.002272724173557945,0.002272724173557945,11,5
2,0.2,0.05,0.1,100000,1000,5,0,10,0.0,0.0,0.0,0.0,,0.002272724173557945,0.002272724173557945,10,5
2,0.2,0.3,0.0,500,0,0,10,1,1.0,0.9090909090909091,0.9090909090909091,0.9523809523809523,183.8,0.0,0.909008271975275,11,10
2,0.2,0.3,0.0,500,1000,3,0,4,0.0,0.0,0.0,0.0,,0.2727024815925825,0.2727024815925825,4,3
2,0.2,0.3,0.0,100000,0,10,0,11,0.0,0.0,0.0,0.0,,0.0045454524793397824,0.0045454524793397824,11,10
2,0.2,0.3,0.0,100000,1000,9,0,10,0.0,0.0,0.0,0.0,,0.004090907231405804,0.004090907231405804,10,9
2,0.2,0.3,0.1,500,0,0,11,1,1.0,0.9166666666666666,0.9090909090909091,0.9565217391304348,197.4,0.0,0.999727347087158,11,11
2,0.2,0.3,0.1,500,1000,3,0,4,0.0,0.0,0.0,0.0,,0.2726529128419522,0.2726529128419522,4,3
2,0.2,0.3,0.1,100000,0,13,0,11,0.0,0.0,0.0,0.0,,0.005909082851250657,0.005909082851250657,11,13
2,0.2,0.3,0.1,100000,1000,10,0,10,0.0,0.0,0.0,0.0,,0.00454544834711589,0.00454544834711589,10,10
3,0.01,0.05,0.0,500,0,1,0,11,0.0,0.0,0.0,0.0,,0.0909008271975275,0.0909008271975275,11,1
3,0.01,0.05,0.0,500,1000,9,0,4,0.0,0.0,0.0,0.0,,0.8181074447777476,0.8181074447777476,4,9
3,0.01,0.05,0.0,100000,0,21,0,11,0.0,0.0,0.0,0.0,,0.009545450206613543,0.009545450206613543,11,21
3,0.01,0.05,0.0,100000,1000,27,0,10,0.0,0.0,0.0,0.0,,0.012272721694217411,0.012272721694217411,10,27
3,0.01,0.05,0.1,500,0,2,0,11,0.0,0.0,0.0,0.0,,0.18176860856130145,0.18176860856130145,11,2
3,0.01,0.05,0.1,500,1000,6,0,4,0.0,0.0,0.0,0.0,,0.5453058256839044,0.5453058256839044,4,6
3,0.01,0.05,0.1,100000,0,29,0,11,0.0,0.0,0.0,0.0,,0.013181800206636082,0.013181800206636082,11,29
3,0.01,0.05,0.1,100000,1000,20,0,10,0.0,0.0,0.0,0.0,,0.00909089669423178,0.00909089669423178,10,20
3,0.01,0.3,0.0,500,0,0,11,1,1.0,0.9166666666666666,0.9090909090909091,0.9565217391304348,160.8,0.0,0.9999090991728026,11,11
3,0.01,0.3,0.0,500,1000,3,0,4,0.0,0.0,0.0,0.0,,0.2727024815925825,0.2727024815925825,4,3
3,0.01,0.3,0.0,100000,0,14,1,10,0.06666666666666667,0.09090909090909091,0.09090909090909091,0.07692307692307691,461.0,0.0063636334710756946,0.006818178719009673,11,15
3,0.01,0.3,0.0,100000,1000,12,0,10,0.0,0.0,0.0,0.0,,0.005454542975207739,0.005454542975207739,10,12
3,0.01,0.3,0.1,500,0,0,11,1,1.0,0.9166666666666666,0.9090909090909091,0.9565217391304348,141.8,0.0,0.999727347087158,11,11
3,0.01,0.3,0.1,500,1000,5,0,4,0.0,0.0,0.0,0.0,,0.4544215214032537,0.4544215214032537,4,5
3,0.01,0.3,0.1,100000,0,13,0,11,0.0,0.0,0.0,0.0,,0.005909082851250657,0.005909082851250657,11,13
3,0.01,0.3,0.1,100000,1000,14,0,10,0.0,0.0,0.0,0.0,,0.006363627685962246,0.006363627685962246,10,14
3,0.2,0.05,0.0,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
3,0.2,0.05,0.0,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
3,0.2,0.05,0.0,100000,0,1,0,11,0.0,0.0,0.0,0.0,,0.0004545452479339782,0.0004545452479339782,11,1
3,0.2,0.05,0.0,100000,1000,1,0,10,0.0,0.0,0.0,0.0,,0.0004545452479339782,0.0004545452479339782,10,1
3,0.2,0.05,0.1,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
3,0.2,0.05,0.1,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
3,0.2,0.05,0.1,100000,0,12,0,11,0.0,0.0,0.0,0.0,,0.005454538016539069,0.005454538016539069,11,12
3,0.2,0.05,0.1,100000,1000,3,0,10,0.0,0.0,0.0,0.0,,0.0013636345041347672,0.0013636345041347672,10,3
3,0.2,0.3,0.0,500,0,0,9,2,1.0,0.8181818181818182,0.8181818181818182,0.9,189.88888888888889,0.0,0.8181074447777476,11,9
3,0.2,0.3,0.0,500,1000,4,0,4,0.0,0.0,0.0,0.0,,0.36360330879011,0.36360330879011,4,4
3,0.2,0.3,0.0,100000,0,12,0,11,0.0,0.0,0.0,0.0,,0.005454542975207739,0.005454542975207739,11,12
3,0.2,0.3,0.0,100000,1000,10,0,10,0.0,0.0,0.0,0.0,,0.0045454524793397824,0.0045454524793397824,10,10
3,0.2,0.3,0.1,500,0,0,9,2,1.0,0.8181818181818182,0.8181818181818182,0.9,192.0,0.0,0.8179587385258567,11,9
3,0.2,0.3,0.1,500,1000,4,0,4,0.0,0.0,0.0,0.0,,0.3635372171226029,0.3635372171226029,4,4
3,0.2,0.3,0.1,100000,0,12,0,11,0.0,0.0,0.0,0.0,,0.005454538016539069,0.005454538016539069,11,12
3,0.2,0.3,0.1,100000,1000,13,0,10,0.0,0.0,0.0,0.0,,0.005909082851250657,0.005909082851250657,10,13
4,0.01,0.05,0.0,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
4,0.01,0.05,0.0,500,1000,6,0,4,0.0,0.0,0.0,0.0,,0.545404963185165,0.545404963185165,4,6
4,0.01,0.05,0.0,100000,0,23,0,11,0.0,0.0,0.0,0.0,,0.010454540702481498,0.010454540702481498,11,23
4,0.01,0.05,0.0,100000,1000,19,0,10,0.0,0.0,0.0,0.0,,0.008636359710745585,0.008636359710745585,10,19
4,0.01,0.05,0.1,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
4,0.01,0.05,0.1,500,1000,3,0,4,0.0,0.0,0.0,0.0,,0.2726529128419522,0.2726529128419522,4,3
4,0.01,0.05,0.1,100000,0,20,0,11,0.0,0.0,0.0,0.0,,0.00909089669423178,0.00909089669423178,11,20
