Seed,Low error rate,Magnitude of change,Noise level,Stable concept duration,Duration of change,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
2,0.01,0.3,0.0,500,1000,4,0,4,0.0,0.0,0.0,0.0,,0.36360330879011,0.36360330879011,4,4
2,0.01,0.3,0.0,100000,0,15,11,1,0.4230769230769231,0.9166666666666666,0.9090909090909091,0.5789473684210527,107.5,0.006818178719009673,0.011818176446283434,11,26
2,0.01,0.3,0.0,100000,1000,20,2,8,0.09090909090909091,0.2,0.2,0.12500000000000003,470.0,0.009090904958679565,0.00999999545454752,10,22
2,0.01,0.3,0.1,500,0,0,10,1,1.0,0.9090909090909091,0.9090909090909091,0.9523809523809523,35.0,0.0,0.9088430428065074,11,10
2,0.01,0.3,0.1,500,1000,5,0,4,0.0,0.0,0.0,0.0,,0.4544215214032537,0.4544215214032537,4,5
2,0.01,0.3,0.1,100000,0,13,10,1,0.43478260869565216,0.9090909090909091,0.9090909090909091,0.5882352941176471,188.8,0.005909082851250657,0.010454531198366547,11,23
2,0.01,0.3,0.1,100000,1000,17,2,8,0.10526315789473684,0.2,0.2,0.13793103448275862,449.5,0.007727262190097013,0.008636351859520192,10,19
2,0.2,0.05,0.0,500,0,0,1,10,1.0,0.09090909090909091,0.09090909090909091,0.16666666666666669,52.0,0.0,0.0909008271975275,11,1
2,0.2,0.05,0.0,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
2,0.2,0.05,0.0,100000,0,27,0,11,0.0,0.0,0.0,0.0,,0.012272721694217411,0.012272721694217411,11,27
2,0.2,0.05,0.0,100000,1000,27,0,10,0.0,0.0,0.0,0.0,,0.012272721694217411,0.012272721694217411,10,27
2,0.2,0.05,0.1,500,0,1,0,11,0.0,0.0,0.0,0.0,,0.09088430428065072,0.09088430428065072,11,1
2,0.2,0.05,0.1,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
2,0.2,0.05,0.1,100000,0,19,0,11,0.0,0.0,0.0,0.0,,0.008636351859520192,0.008636351859520192,11,19
2,0.2,0.05,0.1,100000,1000,18,0,10,0.0,0.0,0.0,0.0,,0.008181807024808604,0.008181807024808604,10,18
2,0.2,0.3,0.0,500,0,0,10,1,1.0,0.9090909090909091,0.9090909090909091,0.9523809523809523,50.2,0.0,0.909008271975275,11,10
2,0.2,0.3,0.0,500,1000,4,0,4,0.0,0.0,0.0,0.0,,0.36360330879011,0.36360330879011,4,4
