,Seed,Low error rate,Magnitude of change,Noise level,Stable concept duration,Duration of change,Drifts,Valid Delay,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
0,10,0.01,0.3,0.0,100000,0,30,500,3,27,3,0.9,0.9,0.9,0.9,80.11111111111111,0.0004999583368052,0.0049995833680526,30,30
0,10,0.01,0.3,0.0,100000,0,40,500,361,39,3,0.0975,0.9285714285714286,0.925,0.1764705882352941,44.4054054054054,0.0451221798637585,0.0499968751953002,40,400
0,10,0.01,0.3,0.0,100000,1000,10,500,14,12,0,0.4615384615384615,1.0,1.0,0.631578947368421,574.4,0.0069289779757485,0.0128681019549616,10,26
0,10,0.01,0.3,0.0,100000,1000,20,500,7,20,0,0.7407407407407407,1.0,1.0,0.851063829787234,316.05,0.0017324588541022,0.0066823412943942,20,27
0,10,0.01,0.3,0.0,100000,1000,30,500,11,30,0,0.7317073170731707,1.0,1.0,0.8450704225352113,318.8666666666667,0.0018150317630558,0.0067651183895718,30,41
0,10,0.01,0.3,0.0,100000,1000,40,500,10,40,0,0.8,1.0,1.0,0.888888888888889,324.6,0.0012375471814862,0.0061877359074314,40,50
0,10,0.01,0.3,0.0,5000,0,10,500,2,11,0,0.8461538461538461,1.0,1.0,0.9166666666666666,41.7,0.0199004975124378,0.1293532338308457,10,13
0,10,0.01,0.3,0.0,5000,0,20,500,9,21,0,0.7,1.0,1.0,0.8235294117647058,39.4,0.0448877805486284,0.1496259351620947,20,30
0,10,0.01,0.3,0.0,5000,0,30,500,22,34,0,0.6071428571428571,1.0,1.0,0.7555555555555554,31.933333333333334,0.0732113144758735,0.1863560732113144,30,56
0,10,0.01,0.3,0.0,5000,0,40,500,9,43,0,0.8269230769230769,1.0,1.0,0.9052631578947368,39.125,0.0224719101123595,0.1298377028714107,40,52
0,10,0.01,0.3,0.0,5000,1000,10,500,3,18,0,0.8571428571428571,1.0,1.0,0.923076923076923,323.4,0.0248962655601659,0.1742738589211618,10,21
