,Seed,Low error rate,Magnitude of change,Noise level,Stable concept duration,Duration of change,Drifts,Valid Delay,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
0,10,0.01,0.3,0.0,100000,0,30,500,1,30,0,0.967741935483871,1.0,1.0,0.9836065573770492,69.3,0.000166652778935,0.0051662361469877,30,31
0,10,0.01,0.3,0.0,100000,0,40,500,118,40,0,0.2531645569620253,1.0,1.0,0.4040404040404041,53.0,0.0147490781826135,0.0197487657021436,40,158
0,10,0.01,0.3,0.0,100000,1000,10,500,6,12,0,0.6666666666666666,1.0,1.0,0.8,604.9,0.0029695619896065,0.0089086859688195,10,18
0,10,0.01,0.3,0.0,100000,1000,20,500,14,20,0,0.5882352941176471,1.0,1.0,0.7407407407407407,314.35,0.0034649177082044,0.0084148001484964,20,34
0,10,0.01,0.3,0.0,100000,1000,30,500,25,31,0,0.5535714285714286,1.0,1.0,0.7126436781609196,313.2333333333333,0.0041250721887633,0.0092401617028298,30,56
0,10,0.01,0.3,0.0,100000,1000,40,500,36,40,0,0.5263157894736842,1.0,1.0,0.6896551724137931,323.525,0.0044551698533506,0.0094053585792958,40,76
0,10,0.01,0.3,0.0,5000,0,10,500,2,10,0,0.8333333333333334,1.0,1.0,0.9090909090909092,47.3,0.0199004975124378,0.1194029850746268,10,12
0,10,0.01,0.3,0.0,5000,0,20,500,10,21,0,0.6774193548387096,1.0,1.0,0.8076923076923077,42.5,0.0498753117206982,0.1546134663341646,20,31
0,10,0.01,0.3,0.0,5000,0,30,500,22,32,0,0.5925925925925926,1.0,1.0,0.7441860465116279,38.36666666666667,0.0732113144758735,0.1797004991680532,30,54
0,10,0.01,0.3,0.0,5000,0,40,500,26,43,0,0.6231884057971014,1.0,1.0,0.7678571428571428,41.45,0.0649188514357053,0.1722846441947565,40,69
0,10,0.01,0.3,0.0,5000,1000,10,500,3,10,0,0.7692307692307693,1.0,1.0,0.8695652173913044,518.8,0.0248962655601659,0.1078838174273859,10,13
0,10,0.01,0.3,0.0,5000,1000,20,500,10,24,0,0.7058823529411765,1.0,1.0,0.8275862068965517,511.85,0.0415800415800415,0.1413721413721413,20,34
0,10,0.01,0.3,0.0,5000,1000,30,500,25,37,0,0.5967741935483871,1.0,1.0,0.7474747474747475,554.4,0.0693481276005547,0.1719833564493758,30,62
0,10,0.01,0.3,0.0,5000,1000,40,500,15,52,0,0.7761194029850746,1.0,1.0,0.8739495798319328,511.2,0.0312174817898022,0.1394380853277835,40,67
0,10,0.01,0.3,0.1,100000,0,10,500,0,10,0,1.0,1.0,1.0,1.0,56.8,0.0,0.0049987503124218,10,10
0,10,0.01,0.3,0.1,100000,0,20,500,63,21,0,0.25,1.0,1.0,0.4,57.3,0.0157480314960629,0.0209973753280839,20,84
0,10,0.01,0.3,0.1,100000,0,30,500,0,30,0,1.0,1.0,1.0,1.0,58.73333333333333,0.0,0.0049995833680526,30,30
0,10,0.01,0.3,0.1,100000,0,40,500,1,40,0,0.975609756097561,1.0,1.0,0.9876543209876544,57.8,0.0001249921879882,0.0051246797075182,40,41
0,10,0.01,0.3,0.1,100000,1000,10,500,10,17,0,0.6296296296296297,1.0,1.0,0.7727272727272727,351.8,0.0049492699826775,0.0133630289532293,10,27
0,10,0.01,0.3,0.1,100000,1000,20,500,1,20,0,0.9523809523809524,1.0,1.0,0.975609756097561,615.55,0.0002474941220146,0.0051973765623066,20,21
0,10,0.01,0.3,0.1,100000,1000,30,500,35,31,0,0.4696969696969697,1.0,1.0,0.6391752577319588,713.5,0.0057751010642686,0.0108901905783351,30,66
0,10,0.01,0.3,0.1,100000,1000,40,500,25,40,0,0.6153846153846154,1.0,1.0,0.761904761904762,363.2,0.0030938679537157,0.0080440566796609,40,65
0,10,0.01,0.3,0.1,5000,0,10,500,6,10,0,0.625,1.0,1.0,0.7692307692307693,45.1,0.0597014925373134,0.1592039800995024,10,16
0,10,0.01,0.3,0.1,5000,0,20,500,7,21,0,0.75,1.0,1.0,0.8571428571428571,52.4,0.0349127182044887,0.1396508728179551,20,28
0,10,0.01,0.3,0.1,5000,0,30,500,15,34,0,0.6938775510204082,1.0,1.0,0.819277108433735,48.46666666666667,0.0499168053244592,0.1630615640599002,30,49
0,10,0.01,0.3,0.1,5000,0,40,500,26,45,0,0.6338028169014085,1.0,1.0,0.7758620689655172,48.1,0.0649188514357053,0.1772784019975031,40,71
0,10,0.01,0.3,0.1,5000,1000,10,500,4,11,0,0.7333333333333333,1.0,1.0,0.846153846153846,570.8,0.0331950207468879,0.1244813278008298,10,15
0,10,0.01,0.3,0.1,5000,1000,20,500,14,33,0,0.7021276595744681,1.0,1.0,0.825,517.85,0.0582120582120582,0.1954261954261954,20,47
0,10,0.01,0.3,0.1,5000,1000,30,500,27,58,0,0.6823529411764706,1.0,1.0,0.8111888111888113,508.53333333333336,0.0748959778085991,0.2357836338418862,30,85
0,10,0.01,0.3,0.1,5000,1000,40,500,29,60,0,0.6741573033707865,1.0,1.0,0.8053691275167786,508.75,0.060353798126951,0.1852237252861602,40,89
0,10,0.2,0.05,0.0,100000,0,10,500,13,0,10,0.0,0.0,0.0,0.0,,0.0064983754061484,0.0064983754061484,10,13
0,10,0.2,0.05,0.0,100000,0,20,500,32,1,19,0.0303030303030303,0.05,0.05,0.0377358490566037,353.0,0.0079990001249843,0.0082489688788901,20,33
0,10,0.2,0.05,0.0,100000,0,30,500,29,1,29,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,354.0,0.0048329305891175,0.0049995833680526,30,30
0,10,0.2,0.05,0.0,100000,0,40,500,128,1,39,0.0077519379844961,0.025,0.025,0.0118343195266272,340.0,0.015999000062496,0.0161239922504843,40,129
0,10,0.2,0.05,0.0,100000,1000,10,500,23,1,9,0.0416666666666666,0.1,0.1,0.0588235294117647,1097.0,0.0113833209601583,0.0118782479584261,10,24
0,10,0.2,0.05,0.0,100000,1000,20,500,29,5,15,0.1470588235294117,0.25,0.25,0.1851851851851851,1308.0,0.0071773295384234,0.0084148001484964,20,34
0,10,0.2,0.05,0.0,100000,1000,30,500,21,10,20,0.3225806451612903,0.3333333333333333,0.3333333333333333,0.3278688524590163,1266.0,0.0034650606385611,0.0051150895140664,30,31
0,10,0.2,0.05,0.0,100000,1000,40,500,31,10,30,0.2439024390243902,0.25,0.25,0.2469135802469135,1254.4,0.0038363962626075,0.0050739434440938,40,41
0,10,0.2,0.05,0.0,5000,0,10,500,5,0,10,0.0,0.0,0.0,0.0,,0.0497512437810945,0.0497512437810945,10,5
0,10,0.2,0.05,0.0,5000,0,20,500,20,1,19,0.0476190476190476,0.05,0.05,0.048780487804878,376.0,0.0997506234413965,0.1047381546134663,20,21
0,10,0.2,0.05,0.0,5000,0,30,500,33,1,29,0.0294117647058823,0.0333333333333333,0.0333333333333333,0.03125,376.0,0.1098169717138103,0.1131447587354409,30,34
0,10,0.2,0.05,0.0,5000,0,40,500,39,3,37,0.0714285714285714,0.075,0.075,0.073170731707317,389.3333333333333,0.097378277153558,0.1048689138576779,40,42
0,10,0.2,0.05,0.0,5000,1000,10,500,6,0,10,0.0,0.0,0.0,0.0,,0.0497925311203319,0.0497925311203319,10,6
0,10,0.2,0.05,0.0,5000,1000,20,500,21,2,18,0.0869565217391304,0.1,0.1,0.0930232558139534,1225.0,0.0873180873180873,0.0956340956340956,20,23
0,10,0.2,0.05,0.0,5000,1000,30,500,31,7,23,0.1842105263157894,0.2333333333333333,0.2333333333333333,0.2058823529411764,1230.142857142857,0.0859916782246879,0.1054091539528432,30,38
0,10,0.2,0.05,0.0,5000,1000,40,500,37,1,39,0.0263157894736842,0.025,0.025,0.0256410256410256,1326.0,0.0770031217481789,0.0790842872008324,40,38
0,10,0.2,0.05,0.1,100000,0,10,500,9,0,10,0.0,0.0,0.0,0.0,,0.0044988752811797,0.0044988752811797,10,9
0,10,0.2,0.05,0.1,100000,0,20,500,19,0,20,0.0,0.0,0.0,0.0,,0.0047494063242094,0.0047494063242094,20,19
0,10,0.2,0.05,0.1,100000,0,30,500,360,5,25,0.0136986301369863,0.1666666666666666,0.1666666666666666,0.0253164556962025,390.6,0.0599950004166319,0.0608282643113073,30,365
0,10,0.2,0.05,0.1,100000,0,40,500,53,1,39,0.0185185185185185,0.025,0.025,0.0212765957446808,430.0,0.0066245859633772,0.0067495781513655,40,54
0,10,0.2,0.05,0.1,100000,1000,10,500,17,1,9,0.0555555555555555,0.1,0.1,0.0714285714285714,1190.0,0.0084137589705518,0.0089086859688195,10,18
0,10,0.2,0.05,0.1,100000,1000,20,500,19,1,19,0.05,0.05,0.05,0.05,1186.0,0.0047023883182774,0.004949882440292,20,20
0,10,0.2,0.05,0.1,100000,1000,30,500,26,6,24,0.1875,0.2,0.2,0.1935483870967742,1198.0,0.0042900750763138,0.005280092401617,30,32
0,10,0.2,0.05,0.1,100000,1000,40,500,34,7,33,0.1707317073170731,0.175,0.175,0.1728395061728395,1193.0,0.0042076604170534,0.0050739434440938,40,41
0,10,0.2,0.05,0.1,5000,0,10,500,10,3,8,0.2307692307692307,0.2727272727272727,0.2,0.2499999999999999,224.0,0.099502487562189,0.1293532338308457,10,13
