,ADWIN,CUSUM,DDM,EDDM,HDDMAverage,HDDMWeighted,Prediction,Ground-Truth
320,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
419,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10926,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10956,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
11355,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
11394,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0
11508,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
11856,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
11895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12039,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12907,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
14066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14370,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
15571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20494,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20537,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20553,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
20950,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
21054,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
21863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21909,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
22410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22494,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
22632,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
23133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23299,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
24299,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
24813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
30001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30260,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
30478,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
30694,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
30821,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
31363,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
31574,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
31647,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
31653,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
32144,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
32154,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
32238,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
32469,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0
32610,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0
32622,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0
32627,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0
32658,2.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0
32659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32699,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
32714,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
