,ADWIN,CUSUM,DDM,EDDM,HDDMAverage,HDDMWeighted,Prediction,Ground-Truth
576,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
1404,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0
1500,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
1506,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0
2905,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
3007,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
3651,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3794,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
4246,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
5728,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
10814,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
11000,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0
11001,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
12318,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
12995,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
13680,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
13725,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0
14221,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0
14489,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0
14528,2.0,0.0,1.0,2.0,2.0,2.0,1.0,0.0
14529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14690,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
15579,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
16562,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
17080,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
17094,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
17239,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
