,ADWIN,CUSUM,DDM,EDDM,HDDMAverage,HDDMWeighted,Prediction,Ground-Truth
47869,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
47871,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0
47964,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0
48006,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0
48058,0.0,0.0,1.0,2.0,2.0,2.0,1.0,0.0
48059,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
48165,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
49715,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
49984,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0
49995,0.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0
49996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50044,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
50053,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
50111,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
50583,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0
50600,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0
51039,0.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0
51554,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0
52101,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
52540,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
52915,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
52917,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
54396,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
54418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
59001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59275,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
59276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59394,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
59525,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
59660,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
59931,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
60204,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0
60250,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0
60256,0.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0
60258,0.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0
60259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60298,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
60312,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
60320,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
60337,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0
60339,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0
60340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60434,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
61683,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
61687,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
63188,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
63541,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
63547,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
65048,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
66981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
71001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71151,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
71219,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
