,ADWIN,CUSUM,DDM,EDDM,HDDMAverage,HDDMWeighted,Prediction,Ground-Truth
19,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
108,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
109,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
610,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1211,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1225,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1236,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
1737,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1740,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1743,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
1928,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0
2020,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0
2078,0.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0
2079,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2134,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2538,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
2542,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0
3021,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
3041,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0
3043,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
3066,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3561,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3648,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
3906,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
4098,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
4262,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0
4599,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
4759,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
4859,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
4946,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
5447,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
6157,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6331,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7153,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7318,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
8330,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
8796,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10013,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10019,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
10021,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
10078,2.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0
10079,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10130,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
11556,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
11562,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
12063,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
12490,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
12537,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
13038,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
13310,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
13350,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
13403,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
14332,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
14561,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
14997,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
15431,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
15498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16645,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
17157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17329,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
