,ADWIN,CUSUM,DDM,EDDM,HDDMAverage,HDDMWeighted,Prediction,Ground-Truth
47384,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47526,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
47527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47638,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
47649,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
48045,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
48055,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0
49078,0.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0
49556,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0
49892,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0
50579,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
50875,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0
51391,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0
52376,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
52454,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
54689,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
55020,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
55429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
59001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59366,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59454,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
59455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59487,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
59489,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
59666,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
59962,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0
59968,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0
59969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60026,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
60046,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
61656,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
61933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63619,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
64558,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
64611,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
66555,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
66828,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
66905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
71001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71456,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71515,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
71516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71611,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
71681,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
71685,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
71967,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0
72260,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0
72261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72367,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
72410,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
73503,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
74125,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
75827,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
75830,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0
75831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75918,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
76148,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
76513,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
78543,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
79084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81933,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
83000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
83001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
83391,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
83414,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
83497,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
83561,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0
83562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83641,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
83673,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
84021,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
84079,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0
85515,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
85524,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
85580,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86010,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
86692,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
88918,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
89199,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
90599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
95001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95401,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95566,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
95567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95671,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
95689,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
95871,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0
96845,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0
96846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96935,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
97138,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
97629,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
98692,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
98853,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
98997,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0
100422,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
100867,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
101182,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
101192,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
101873,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
102693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
107001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107469,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107616,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
107617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
