,ADWIN,CUSUM,DDM,EDDM,HDDMAverage,HDDMWeighted,Prediction,Ground-Truth
1268,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
1309,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
1374,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1424,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2945,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12160,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12340,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12850,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
13509,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
13510,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
13585,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
13594,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
14000,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
15393,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
19845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20015,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
21516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23070,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
23252,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
24357,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
24484,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
24945,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
26274,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
26446,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
28063,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0
28064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28097,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
28659,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
29598,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
30669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32132,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
34155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34423,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
35000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
35001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
36099,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
36312,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
36447,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
36643,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
