,ADWIN,CUSUM,DDM,EDDM,HDDMAverage,HDDMWeighted,Prediction,Ground-Truth
140,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
458,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
692,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1299,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1307,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
1398,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0
1809,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
1899,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3024,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3030,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
3531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4378,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10021,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10023,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
10027,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
10028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10107,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
10632,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
11133,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
11741,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
12248,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
12738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12808,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
13790,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
14198,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
14291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14654,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
15155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20055,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
20061,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
20062,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0
20063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20099,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20186,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
20252,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
20619,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
20621,0.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0
20622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20706,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
20965,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
20968,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
21008,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0
21009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21085,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21115,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
21476,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
22267,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
22404,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
22416,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0
22417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22517,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
22540,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
22557,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0
22558,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0
22559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22597,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
22665,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
23088,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
23158,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0
23591,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
23873,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
23998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24900,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
24902,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
24905,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0
24906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24961,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
25480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27016,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
28227,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
28728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
30001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30019,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
30030,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0
30039,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0
30040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30082,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
30147,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
30176,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
30592,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
31622,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
31769,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
31778,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
