,ADWIN,CUSUM,DDM,EDDM,HDDMAverage,HDDMWeighted,Prediction,Ground-Truth
10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
39,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
43,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
146,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
151,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
152,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0
153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
779,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
784,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
1257,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1304,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1384,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2023,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2604,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
2620,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0
2621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2684,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2701,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2740,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
3241,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
3532,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
3621,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
3861,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
4369,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
4394,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6186,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6191,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
6692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7303,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10017,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
10038,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
10055,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0
10056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10121,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10180,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
10599,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
10681,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
10687,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
10749,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0
11250,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
11421,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11679,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
12856,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
13072,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
13357,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
15550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16500,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
16520,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
17021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17785,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
18291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19044,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
19048,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
19549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19663,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
20001,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20027,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
20103,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
20104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20164,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
20281,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
20305,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
