,ADWIN,CUSUM,DDM,EDDM,HDDMAverage,HDDMWeighted,Prediction,Ground-Truth
12,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
66,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
77,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0
93,2.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0
97,2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0
98,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
153,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
164,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
1490,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
1654,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1665,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2218,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
3722,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7544,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7546,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
7582,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
9122,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
9650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10757,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
11000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
11001,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
11369,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
11677,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
11681,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0
11682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11771,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
11781,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
11802,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0
11803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11860,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
12595,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
12599,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
12602,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0
12603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12655,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
12935,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
12938,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
14264,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0
14410,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0
14439,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
14481,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
14694,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
15190,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0
16663,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
16680,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0
17868,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0
17977,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0
18415,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
18749,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
19369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19935,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
19939,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
