,ADWIN,CUSUM,DDM,EDDM,HDDMAverage,HDDMWeighted,Prediction,Ground-Truth
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
179,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
181,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
183,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
691,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
1178,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
1477,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
1562,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1607,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
2108,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2123,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2128,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
2282,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
2629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2630,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2636,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2868,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
4501,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0
4502,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0
5003,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0
5353,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
5634,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
5637,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0
6871,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
6988,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
7714,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0
8416,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
8638,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
9141,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
9905,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
10410,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
10776,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
11309,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
11607,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
11996,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
12497,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
12501,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0
13002,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
13044,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
13605,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0
14106,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
14281,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
15582,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
16060,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
16095,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
16561,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
17350,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
18329,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
19287,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
19343,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
19416,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0
20533,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
20698,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
21728,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
22076,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
23646,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
23773,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
24766,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
25043,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
25050,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0
25551,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
