,ADWIN,CUSUM,DDM,EDDM,HDDMAverage,HDDMWeighted,Prediction,Ground-Truth
43,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
126,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
182,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
1300,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0
1307,2.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0
1683,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0
1684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1745,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1769,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
3024,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
3030,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0
3261,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
3663,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0
3810,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0
4531,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
6119,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11347,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11441,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
11442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11476,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
11515,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
11612,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
12002,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0
12133,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0
12640,0.0,2.0,2.0,2.0,0.0,2.0,1.0,0.0
12641,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
